Accident_ID,Date,Time,City,State,Country,Accident Type,Cause of Accident,Severity,Number of Vehicles Involved,Number of Casualties,Number of Injuries,Weather Condition,Road Condition,Police Report Filed,Emergency Services Response Time (min),Hospital Admitted To
ACC00033,2025-02-15,04:59:38,Chennai,Tamil Nadu,India,Bus,Road Conditions,Moderate,2,0,6,Rainy,Potholes,No,16.1,Apollo Hospitals
ACC00034,2025-03-01,13:10:40,Ahmedabad,Gujarat,India,Train,Poor Lighting,Fatal,5,2,1,Clear,Gravel,Yes,28.2,AIIMS
ACC00035,2025-01-14,19:15:30,Mumbai,Maharashtra,India,Pedestrian Involved,Human Error,Fatal,3,2,4,Clear,Potholes,Yes,15.2,Manipal Hospital
ACC00036,2025-02-14,08:30:30,Mumbai,Maharashtra,India,Truck,Weather Conditions,Fatal,1,2,5,Foggy,Dry,No,25.3,Manipal Hospital
ACC00037,2025-03-24,12:38:22,Chennai,Tamil Nadu,India,Fire Accident,Poor Lighting,Severe,5,1,2,Stormy,Potholes,Yes,29.6,AIIMS
ACC00038,2025-03-24,17:05:08,Kolkata,West Bengal,India,Vehicle Collision,Weather Conditions,Severe,2,3,5,Foggy,Potholes,No,22.7,Fortis Healthcare
ACC00039,2025-01-15,05:44:50,Jaipur,Rajasthan,India,Slip & Fall,Road Conditions,Moderate,1,2,5,Foggy,Dry,Yes,31.9,Fortis Healthcare
ACC00040,2025-02-09,22:34:44,Hyderabad,Telangana,India,Two-Wheeler,Over Speeding,Minor,2,3,5,Clear,Potholes,No,40.4,Max Healthcare
ACC00041,2025-01-05,08:29:03,Hyderabad,Telangana,India,Fire Accident,Brake Failure,Fatal,2,1,6,Clear,Dry,No,13.8,Max Healthcare
ACC00042,2025-04-22,10:36:56,Pune,Maharashtra,India,Vehicle Collision,Human Error,Moderate,1,3,2,Stormy,Under Construction,No,43.0,Manipal Hospital
ACC00043,2025-02-26,23:56:54,Lucknow,Uttar Pradesh,India,Fire Accident,Road Conditions,Fatal,2,3,4,Foggy,Wet,No,35.6,Max Healthcare
ACC00044,2025-03-29,12:45:47,Pune,Maharashtra,India,Truck,Weather Conditions,Fatal,1,2,2,Foggy,Gravel,No,40.7,Apollo Hospitals
ACC00045,2025-01-15,18:41:53,Bengaluru,Karnataka,India,Two-Wheeler,Drunk Driving,Fatal,2,1,1,Stormy,Potholes,No,26.7,Manipal Hospital
ACC00046,2025-03-15,09:59:54,Mumbai,Maharashtra,India,Truck,Road Conditions,Fatal,4,0,5,Stormy,Potholes,Yes,42.7,AIIMS
ACC00047,2025-01-23,11:49:32,Kolkata,West Bengal,India,Fire Accident,Human Error,Moderate,4,1,3,Stormy,Potholes,Yes,20.6,Manipal Hospital
ACC00048,2025-03-06,17:45:19,Bengaluru,Karnataka,India,Slip & Fall,Drunk Driving,Minor,4,0,1,Stormy,Wet,No,12.3,AIIMS
ACC00049,2025-04-12,09:51:12,Kolkata,West Bengal,India,Train,Drunk Driving,Fatal,3,2,4,Foggy,Potholes,No,38.4,Manipal Hospital
ACC00050,2025-04-25,07:55:21,Mumbai,Maharashtra,India,Vehicle Collision,Weather Conditions,Moderate,1,0,1,Rainy,Wet,Yes,29.9,Fortis Healthcare
ACC00051,2025-02-22,18:53:30,Bengaluru,Karnataka,India,Slip & Fall,Poor Lighting,Minor,5,1,4,Foggy,Gravel,Yes,29.2,Apollo Hospitals
ACC00052,2025-02-01,20:41:03,Bengaluru,Karnataka,India,Bus,Over Speeding,Minor,3,3,4,Rainy,Dry,Yes,9.1,AIIMS
ACC00053,2025-01-16,16:39:48,Lucknow,Uttar Pradesh,India,Pedestrian Involved,Road Conditions,Minor,3,3,6,Foggy,Dry,No,5.5,Manipal Hospital
ACC00054,2025-01-21,12:41:58,Pune,Maharashtra,India,Pedestrian Involved,Brake Failure,Severe,4,1,4,Rainy,Under Construction,No,29.6,Max Healthcare
ACC00055,2025-04-09,23:57:05,Pune,Maharashtra,India,Slip & Fall,Brake Failure,Severe,3,1,1,Foggy,Potholes,Yes,35.0,Max Healthcare
ACC00056,2025-04-26,12:02:52,Lucknow,Uttar Pradesh,India,Fire Accident,Weather Conditions,Minor,4,2,2,Stormy,Wet,No,36.9,AIIMS
ACC00057,2025-02-18,09:28:38,Ahmedabad,Gujarat,India,Bus,Human Error,Minor,5,1,1,Rainy,Potholes,No,27.2,Fortis Healthcare
ACC00058,2025-02-08,00:59:01,Pune,Maharashtra,India,Slip & Fall,Brake Failure,Minor,1,2,2,Stormy,Wet,No,31.6,AIIMS
ACC00059,2025-04-23,16:33:54,Pune,Maharashtra,India,Train,Brake Failure,Severe,3,3,3,Foggy,Gravel,Yes,9.8,Fortis Healthcare
ACC00060,2025-02-08,23:29:34,Chennai,Tamil Nadu,India,Pedestrian Involved,Poor Lighting,Moderate,2,1,6,Stormy,Gravel,No,44.2,Fortis Healthcare
ACC00061,2025-03-23,08:36:46,Ahmedabad,Gujarat,India,Truck,Weather Conditions,Moderate,3,0,6,Rainy,Gravel,Yes,44.0,Max Healthcare
ACC00062,2025-01-13,16:43:27,Ahmedabad,Gujarat,India,Two-Wheeler,Poor Lighting,Fatal,1,0,5,Foggy,Potholes,No,22.6,Fortis Healthcare
ACC00063,2025-03-18,13:26:22,Mumbai,Maharashtra,India,Bus,Road Conditions,Fatal,1,0,4,Stormy,Dry,Yes,11.1,Max Healthcare
ACC00064,2025-01-24,23:56:38,Ahmedabad,Gujarat,India,Pedestrian Involved,Drunk Driving,Minor,5,3,5,Rainy,Under Construction,No,23.0,Manipal Hospital
ACC00065,2025-03-19,05:12:21,Ahmedabad,Gujarat,India,Fire Accident,Weather Conditions,Minor,5,0,2,Rainy,Gravel,Yes,11.3,Fortis Healthcare
ACC00066,2025-02-02,15:17:33,Jaipur,Rajasthan,India,Pedestrian Involved,Drunk Driving,Minor,4,3,6,Stormy,Gravel,Yes,14.3,AIIMS
ACC00067,2025-05-01,02:34:12,Pune,Maharashtra,India,Pedestrian Involved,Poor Lighting,Moderate,3,1,4,Clear,Under Construction,Yes,30.9,AIIMS
ACC00068,2025-03-01,13:13:12,Bengaluru,Karnataka,India,Pedestrian Involved,Over Speeding,Moderate,3,2,4,Clear,Potholes,No,33.0,AIIMS
ACC00069,2025-01-11,14:12:24,Jaipur,Rajasthan,India,Slip & Fall,Brake Failure,Minor,5,0,4,Foggy,Under Construction,No,6.0,Fortis Healthcare
ACC00070,2025-02-08,01:46:46,Lucknow,Uttar Pradesh,India,Vehicle Collision,Road Conditions,Severe,5,0,2,Stormy,Under Construction,No,41.6,Fortis Healthcare
ACC00071,2025-02-10,06:20:28,Lucknow,Uttar Pradesh,India,Fire Accident,Poor Lighting,Fatal,1,3,3,Stormy,Gravel,No,31.8,Fortis Healthcare
ACC00072,2025-03-26,10:13:29,Chennai,Tamil Nadu,India,Fire Accident,Poor Lighting,Fatal,3,3,5,Clear,Potholes,Yes,17.6,AIIMS
ACC00073,2025-03-15,20:58:00,Delhi,Delhi,India,Fire Accident,Road Conditions,Minor,5,3,4,Clear,Wet,No,29.9,Manipal Hospital
ACC00074,2025-04-22,06:22:34,Pune,Maharashtra,India,Vehicle Collision,Drunk Driving,Severe,5,1,3,Stormy,Potholes,Yes,6.2,Max Healthcare
ACC00075,2025-04-28,07:28:07,Hyderabad,Telangana,India,Two-Wheeler,Weather Conditions,Minor,5,3,1,Rainy,Dry,No,42.9,Fortis Healthcare
ACC00076,2025-03-29,12:49:04,Pune,Maharashtra,India,Bus,Human Error,Severe,4,3,4,Rainy,Potholes,Yes,20.3,Max Healthcare
ACC00077,2025-03-13,12:00:43,Jaipur,Rajasthan,India,Two-Wheeler,Road Conditions,Minor,3,3,3,Foggy,Dry,No,34.0,Max Healthcare
ACC00078,2025-02-12,23:39:22,Lucknow,Uttar Pradesh,India,Slip & Fall,Road Conditions,Moderate,4,3,3,Foggy,Under Construction,No,23.2,AIIMS
ACC00079,2025-04-04,07:32:09,Hyderabad,Telangana,India,Truck,Human Error,Fatal,2,3,1,Foggy,Potholes,No,20.4,Fortis Healthcare
ACC00080,2025-04-12,13:07:28,Pune,Maharashtra,India,Vehicle Collision,Drunk Driving,Severe,1,3,1,Stormy,Dry,Yes,21.4,Fortis Healthcare
ACC00081,2025-02-21,04:59:59,Delhi,Delhi,India,Slip & Fall,Road Conditions,Severe,3,3,6,Clear,Gravel,No,43.2,Manipal Hospital
ACC00082,2025-01-14,17:05:44,Jaipur,Rajasthan,India,Vehicle Collision,Human Error,Minor,2,2,2,Clear,Potholes,Yes,35.4,Apollo Hospitals
ACC00083,2025-01-18,02:43:41,Pune,Maharashtra,India,Two-Wheeler,Poor Lighting,Severe,1,0,3,Clear,Gravel,No,20.0,Fortis Healthcare
ACC00084,2025-01-13,00:47:09,Hyderabad,Telangana,India,Fire Accident,Human Error,Moderate,2,1,1,Stormy,Under Construction,Yes,24.9,Max Healthcare
ACC00085,2025-04-17,12:07:28,Bengaluru,Karnataka,India,Truck,Brake Failure,Severe,4,2,6,Clear,Potholes,No,32.1,Fortis Healthcare
ACC00086,2025-03-13,06:57:06,Delhi,Delhi,India,Slip & Fall,Weather Conditions,Severe,4,2,4,Foggy,Wet,No,39.1,Apollo Hospitals
ACC00087,2025-02-17,13:00:54,Hyderabad,Telangana,India,Fire Accident,Human Error,Severe,5,2,6,Foggy,Dry,No,16.0,Max Healthcare
ACC00088,2025-02-08,21:36:56,Mumbai,Maharashtra,India,Slip & Fall,Road Conditions,Severe,2,2,2,Rainy,Under Construction,No,32.1,Fortis Healthcare
ACC00089,2025-01-17,20:26:01,Delhi,Delhi,India,Vehicle Collision,Weather Conditions,Fatal,1,2,6,Rainy,Dry,No,18.1,Manipal Hospital
ACC00090,2025-03-15,07:47:17,Bengaluru,Karnataka,India,Truck,Drunk Driving,Severe,5,2,2,Foggy,Potholes,No,34.9,AIIMS
ACC00091,2025-04-13,10:04:13,Delhi,Delhi,India,Slip & Fall,Over Speeding,Moderate,2,3,5,Foggy,Dry,No,5.6,Max Healthcare
ACC00092,2025-05-06,11:20:21,Delhi,Delhi,India,Slip & Fall,Weather Conditions,Severe,5,3,6,Foggy,Dry,Yes,23.9,Max Healthcare
ACC00093,2025-04-25,20:34:18,Jaipur,Rajasthan,India,Train,Human Error,Moderate,1,3,6,Foggy,Potholes,Yes,10.6,Apollo Hospitals
ACC00094,2025-03-01,06:37:31,Ahmedabad,Gujarat,India,Slip & Fall,Over Speeding,Minor,2,1,4,Stormy,Gravel,No,28.5,Fortis Healthcare
ACC00095,2025-02-14,00:15:36,Kolkata,West Bengal,India,Pedestrian Involved,Road Conditions,Fatal,5,3,3,Clear,Gravel,Yes,22.7,Fortis Healthcare
ACC00096,2025-03-23,15:49:46,Chennai,Tamil Nadu,India,Pedestrian Involved,Poor Lighting,Severe,5,2,1,Stormy,Gravel,Yes,43.7,Manipal Hospital
ACC00097,2025-04-16,23:51:51,Delhi,Delhi,India,Truck,Poor Lighting,Minor,1,2,2,Rainy,Under Construction,Yes,7.7,Max Healthcare
ACC00098,2025-02-06,21:47:44,Hyderabad,Telangana,India,Truck,Road Conditions,Moderate,3,1,5,Clear,Gravel,Yes,44.5,Max Healthcare
ACC00099,2025-03-21,02:34:32,Ahmedabad,Gujarat,India,Two-Wheeler,Over Speeding,Minor,2,0,3,Rainy,Under Construction,No,5.6,AIIMS
ACC00100,2025-02-03,10:56:09,Mumbai,Maharashtra,India,Two-Wheeler,Poor Lighting,Fatal,5,0,6,Clear,Potholes,No,36.1,Max Healthcare
ACC00101,2025-04-11,16:00:24,Lucknow,Uttar Pradesh,India,Pedestrian Involved,Brake Failure,Moderate,5,0,6,Foggy,Potholes,Yes,7.4,Manipal Hospital
ACC00102,2025-03-02,09:16:26,Kolkata,West Bengal,India,Fire Accident,Poor Lighting,Minor,4,3,1,Clear,Gravel,Yes,7.6,AIIMS
ACC00103,2025-03-17,15:56:38,Lucknow,Uttar Pradesh,India,Train,Brake Failure,Severe,4,3,1,Clear,Under Construction,Yes,22.2,Fortis Healthcare
ACC00104,2025-03-20,04:34:34,Kolkata,West Bengal,India,Train,Road Conditions,Fatal,4,3,6,Clear,Gravel,No,17.5,AIIMS
ACC00105,2025-03-11,12:22:15,Chennai,Tamil Nadu,India,Two-Wheeler,Poor Lighting,Fatal,1,0,1,Clear,Potholes,Yes,34.8,AIIMS
ACC00106,2025-05-02,17:08:23,Bengaluru,Karnataka,India,Vehicle Collision,Human Error,Severe,1,3,3,Stormy,Dry,No,29.0,AIIMS
ACC00107,2025-01-11,14:30:10,Delhi,Delhi,India,Truck,Drunk Driving,Fatal,2,0,3,Foggy,Dry,No,28.0,Manipal Hospital
ACC00108,2025-02-28,17:06:24,Jaipur,Rajasthan,India,Vehicle Collision,Human Error,Severe,1,1,3,Foggy,Gravel,No,5.2,Fortis Healthcare
ACC00109,2025-03-12,03:23:30,Lucknow,Uttar Pradesh,India,Fire Accident,Over Speeding,Moderate,1,0,6,Rainy,Potholes,No,23.1,Fortis Healthcare
ACC00110,2025-02-06,06:53:24,Chennai,Tamil Nadu,India,Bus,Poor Lighting,Severe,5,0,1,Rainy,Wet,Yes,32.0,AIIMS
ACC00111,2025-04-10,23:12:47,Pune,Maharashtra,India,Fire Accident,Brake Failure,Fatal,4,2,2,Clear,Gravel,No,9.4,Max Healthcare
ACC00112,2025-04-20,13:15:17,Pune,Maharashtra,India,Bus,Over Speeding,Moderate,4,0,1,Rainy,Gravel,Yes,35.7,AIIMS
ACC00113,2025-04-18,00:07:39,Ahmedabad,Gujarat,India,Train,Over Speeding,Minor,4,3,2,Rainy,Potholes,Yes,25.0,AIIMS
ACC00114,2025-04-17,04:01:54,Delhi,Delhi,India,Fire Accident,Road Conditions,Minor,4,0,4,Clear,Gravel,No,27.9,Manipal Hospital
ACC00115,2025-03-09,06:21:31,Ahmedabad,Gujarat,India,Pedestrian Involved,Brake Failure,Minor,3,1,5,Stormy,Gravel,Yes,22.5,Apollo Hospitals
ACC00116,2025-03-19,05:58:30,Hyderabad,Telangana,India,Fire Accident,Human Error,Fatal,5,0,4,Foggy,Gravel,Yes,18.3,Fortis Healthcare
ACC00117,2025-03-24,02:25:04,Delhi,Delhi,India,Pedestrian Involved,Human Error,Moderate,3,2,6,Rainy,Wet,Yes,10.9,Fortis Healthcare
ACC00118,2025-04-15,16:51:40,Bengaluru,Karnataka,India,Two-Wheeler,Road Conditions,Minor,2,3,4,Stormy,Under Construction,No,39.6,AIIMS
ACC00119,2025-02-15,16:48:43,Bengaluru,Karnataka,India,Slip & Fall,Over Speeding,Fatal,4,2,3,Clear,Gravel,Yes,17.4,Manipal Hospital
ACC00120,2025-01-08,18:49:27,Mumbai,Maharashtra,India,Vehicle Collision,Weather Conditions,Severe,1,0,5,Stormy,Potholes,Yes,23.0,Max Healthcare
ACC00121,2025-04-11,17:50:43,Hyderabad,Telangana,India,Train,Human Error,Fatal,5,1,1,Stormy,Dry,No,44.3,Apollo Hospitals
ACC00122,2025-01-31,01:57:22,Jaipur,Rajasthan,India,Two-Wheeler,Over Speeding,Moderate,4,3,5,Rainy,Gravel,No,41.7,Manipal Hospital
ACC00123,2025-01-28,05:17:29,Kolkata,West Bengal,India,Train,Poor Lighting,Minor,3,0,3,Clear,Under Construction,No,16.4,Max Healthcare
ACC00124,2025-02-12,18:47:58,Bengaluru,Karnataka,India,Train,Over Speeding,Moderate,3,2,6,Stormy,Wet,Yes,17.4,Manipal Hospital
ACC00125,2025-02-28,21:43:01,Chennai,Tamil Nadu,India,Two-Wheeler,Poor Lighting,Minor,4,2,1,Foggy,Gravel,Yes,43.0,AIIMS
ACC00126,2025-01-13,02:58:15,Pune,Maharashtra,India,Truck,Drunk Driving,Moderate,2,0,3,Clear,Under Construction,Yes,31.5,Max Healthcare
ACC00127,2025-04-12,17:35:31,Bengaluru,Karnataka,India,Fire Accident,Drunk Driving,Moderate,2,1,6,Stormy,Dry,No,19.6,Fortis Healthcare
ACC00128,2025-01-31,06:02:50,Pune,Maharashtra,India,Bus,Road Conditions,Fatal,2,1,3,Stormy,Wet,No,32.1,Max Healthcare
ACC00129,2025-02-16,09:37:24,Pune,Maharashtra,India,Slip & Fall,Road Conditions,Severe,4,3,2,Rainy,Under Construction,Yes,39.9,Apollo Hospitals
ACC00130,2025-01-14,08:51:06,Pune,Maharashtra,India,Train,Human Error,Minor,5,0,3,Clear,Wet,No,23.0,Max Healthcare
ACC00131,2025-03-13,15:31:10,Bengaluru,Karnataka,India,Fire Accident,Over Speeding,Moderate,4,2,1,Stormy,Dry,No,25.1,Fortis Healthcare
ACC00132,2025-04-04,13:04:24,Kolkata,West Bengal,India,Pedestrian Involved,Weather Conditions,Moderate,1,2,1,Foggy,Wet,Yes,6.5,Manipal Hospital
ACC00133,2025-04-06,23:46:56,Bengaluru,Karnataka,India,Slip & Fall,Brake Failure,Minor,1,0,3,Rainy,Wet,No,9.4,AIIMS
ACC00134,2025-04-04,08:34:30,Hyderabad,Telangana,India,Bus,Over Speeding,Minor,2,3,6,Stormy,Dry,Yes,38.5,Manipal Hospital
ACC00135,2025-01-21,21:42:25,Lucknow,Uttar Pradesh,India,Vehicle Collision,Poor Lighting,Moderate,2,2,4,Clear,Under Construction,No,14.6,Manipal Hospital
ACC00136,2025-03-08,01:31:48,Bengaluru,Karnataka,India,Pedestrian Involved,Human Error,Severe,1,0,4,Stormy,Dry,No,44.2,AIIMS
ACC00137,2025-04-25,16:22:44,Mumbai,Maharashtra,India,Train,Road Conditions,Minor,3,1,6,Clear,Under Construction,No,10.3,AIIMS
ACC00138,2025-05-06,00:57:26,Jaipur,Rajasthan,India,Train,Road Conditions,Moderate,4,3,6,Rainy,Wet,Yes,33.6,Manipal Hospital
ACC00139,2025-01-13,23:13:19,Mumbai,Maharashtra,India,Bus,Drunk Driving,Minor,2,0,3,Foggy,Under Construction,No,44.6,Max Healthcare
ACC00140,2025-01-21,06:18:50,Pune,Maharashtra,India,Bus,Over Speeding,Moderate,3,2,1,Foggy,Gravel,Yes,37.0,Manipal Hospital
ACC00141,2025-02-15,04:01:12,Kolkata,West Bengal,India,Slip & Fall,Brake Failure,Severe,2,3,6,Stormy,Gravel,No,37.0,Manipal Hospital
ACC00142,2025-02-20,19:19:01,Delhi,Delhi,India,Fire Accident,Human Error,Moderate,5,2,3,Clear,Dry,No,31.4,AIIMS
ACC00143,2025-03-26,21:27:07,Pune,Maharashtra,India,Fire Accident,Drunk Driving,Fatal,3,3,1,Foggy,Under Construction,No,16.0,Apollo Hospitals
ACC00144,2025-03-08,22:38:43,Delhi,Delhi,India,Fire Accident,Weather Conditions,Moderate,1,1,5,Stormy,Dry,Yes,7.7,AIIMS
ACC00145,2025-04-13,06:55:19,Chennai,Tamil Nadu,India,Fire Accident,Human Error,Minor,5,1,6,Stormy,Gravel,No,22.8,Apollo Hospitals
ACC00146,2025-01-30,01:34:55,Lucknow,Uttar Pradesh,India,Two-Wheeler,Human Error,Severe,4,2,6,Foggy,Wet,Yes,6.0,Fortis Healthcare
ACC00147,2025-01-20,10:13:49,Pune,Maharashtra,India,Fire Accident,Human Error,Minor,3,2,6,Stormy,Wet,No,32.8,Manipal Hospital
ACC00148,2025-02-03,15:25:32,Hyderabad,Telangana,India,Pedestrian Involved,Drunk Driving,Minor,4,1,6,Stormy,Dry,No,31.7,Apollo Hospitals
ACC00149,2025-03-22,11:21:56,Jaipur,Rajasthan,India,Bus,Weather Conditions,Moderate,2,2,5,Rainy,Dry,Yes,36.7,Fortis Healthcare
ACC00150,2025-04-27,07:17:29,Pune,Maharashtra,India,Vehicle Collision,Weather Conditions,Severe,4,1,5,Clear,Dry,No,20.9,Manipal Hospital
ACC00151,2025-04-04,10:01:26,Jaipur,Rajasthan,India,Fire Accident,Road Conditions,Fatal,5,0,2,Foggy,Dry,No,23.6,Max Healthcare
ACC00152,2025-01-01,21:30:26,Chennai,Tamil Nadu,India,Two-Wheeler,Road Conditions,Moderate,2,3,5,Clear,Dry,Yes,17.2,Fortis Healthcare
ACC00153,2025-04-01,08:21:48,Chennai,Tamil Nadu,India,Truck,Weather Conditions,Severe,1,2,2,Foggy,Wet,No,29.6,Apollo Hospitals
ACC00154,2025-04-16,11:22:46,Jaipur,Rajasthan,India,Two-Wheeler,Human Error,Moderate,2,2,5,Clear,Dry,Yes,6.8,Max Healthcare
ACC00155,2025-04-02,14:26:46,Ahmedabad,Gujarat,India,Truck,Road Conditions,Fatal,5,0,4,Foggy,Gravel,No,14.8,Manipal Hospital
ACC00156,2025-01-24,18:00:55,Ahmedabad,Gujarat,India,Slip & Fall,Over Speeding,Minor,2,3,4,Stormy,Potholes,Yes,18.6,Fortis Healthcare
ACC00157,2025-01-23,23:19:00,Chennai,Tamil Nadu,India,Train,Poor Lighting,Severe,4,1,3,Clear,Gravel,Yes,23.7,AIIMS
ACC00158,2025-04-05,00:56:39,Pune,Maharashtra,India,Truck,Drunk Driving,Minor,1,2,4,Stormy,Wet,Yes,37.5,Max Healthcare
ACC00159,2025-03-13,20:22:50,Chennai,Tamil Nadu,India,Truck,Road Conditions,Moderate,4,3,4,Foggy,Potholes,Yes,8.6,Manipal Hospital
ACC00160,2025-01-05,16:04:24,Jaipur,Rajasthan,India,Slip & Fall,Drunk Driving,Moderate,5,2,1,Clear,Gravel,No,28.9,Manipal Hospital
ACC00161,2025-04-17,09:59:30,Ahmedabad,Gujarat,India,Vehicle Collision,Road Conditions,Minor,4,1,3,Foggy,Potholes,No,6.8,Apollo Hospitals
ACC00162,2025-03-26,18:15:08,Lucknow,Uttar Pradesh,India,Truck,Weather Conditions,Severe,1,3,5,Stormy,Under Construction,No,38.0,Max Healthcare
